Scenario,Season,Model,Correct,% Correct,Home Recall %,Draw Recall %,Away Recall %,Macro-F1,Balanced Acc,Log Loss (soft)
La Liga,2023/24,Random Forest,51,49.04,60.5,29.0,54.3,0.4747,0.4795,1.0097
La Liga,2023/24,Stacked (XGBMeta),51,49.04,78.9,22.6,40.0,0.4536,0.4718,1.0448
La Liga,2023/24,Hybrid (Random Forest-Elo),51,49.04,60.5,29.0,54.3,0.4747,0.4795,1.0097
La Liga,2023/24,Hybrid (CatBoost-Elo),50,48.08,68.4,41.9,31.4,0.4693,0.4726,1.02
La Liga,2023/24,Stacked (CatMeta),50,48.08,81.6,12.9,42.9,0.4285,0.4578,1.0351
La Liga,2023/24,Hybrid (HistGBM-Elo),50,48.08,71.1,16.1,51.4,0.4402,0.462,1.0424
La Liga,2023/24,CatBoost,49,47.12,68.4,41.9,28.6,0.4571,0.4631,1.0215
La Liga,2023/24,DrawThresh(0.34)+XGBoost,48,46.15,39.5,67.7,34.3,0.465,0.4717,1.0077
La Liga,2023/24,HistGBM,47,45.19,60.5,25.8,45.7,0.4354,0.4402,1.1036
La Liga,2023/24,Hybrid (Logistic Regression-Elo),44,42.31,50.0,22.6,51.4,0.4116,0.4134,1.0316
La Liga,2023/24,Logistic Regression,43,41.35,47.4,25.8,48.6,0.4072,0.4058,1.0356
La Liga,2023/24,Hybrid (MLP-Elo),41,39.42,44.7,38.7,34.3,0.3991,0.3924,1.1543
La Liga,2023/24,MLP,40,38.46,42.1,38.7,34.3,0.3923,0.3837,1.2106
La Liga,2024/25,Stacked (MLPMeta),228,55.47,83.9,5.8,54.5,0.4435,0.4806,0.9447
La Liga,2024/25,Stacked (CatMeta),226,54.99,84.9,8.7,48.8,0.4493,0.4745,0.9484
La Liga,2024/25,Stacked (RFMeta),222,54.01,82.8,7.7,49.6,0.4395,0.4669,0.9488
La Liga,2024/25,Stacked (XGBMeta),222,54.01,84.4,8.7,46.3,0.4385,0.4645,0.958
La Liga,2024/25,Linear SVM,222,54.01,82.8,0.0,56.2,0.4024,0.4633,0.959
La Liga,2024/25,Hybrid (Linear SVM-Elo),222,54.01,82.8,0.0,56.2,0.4024,0.4633,0.959
La Liga,2024/25,CatBoost,220,53.53,67.2,39.4,44.6,0.5094,0.5042,0.9572
La Liga,2024/25,Hybrid (Random Forest-Elo),220,53.53,61.8,30.8,60.3,0.5078,0.5098,0.9654
La Liga,2024/25,Hybrid (CatBoost-Elo),220,53.53,67.2,39.4,44.6,0.5094,0.5042,0.9572
La Liga,2024/25,Hybrid (XGBoost-Elo),219,53.28,56.5,46.2,54.5,0.5221,0.5238,0.9725
La Liga,2024/25,LightGBM,219,53.28,54.8,46.2,57.0,0.5233,0.5267,0.9731
La Liga,2024/25,XGBoost,219,53.28,56.5,46.2,54.5,0.5222,0.5238,0.9728
La Liga,2024/25,Hybrid (LightGBM-Elo),218,53.04,55.9,43.3,57.0,0.5181,0.5207,0.9725
La Liga,2024/25,Hybrid (MLP-Elo),216,52.55,67.7,21.2,56.2,0.4757,0.4836,0.9635
La Liga,2024/25,Random Forest,216,52.55,60.8,31.7,57.9,0.5003,0.5011,0.9662
La Liga,2024/25,Hybrid (Logistic Regression-Elo),213,51.82,65.6,14.4,62.8,0.4546,0.4761,0.9823
La Liga,2024/25,Logistic Regression,212,51.58,57.0,28.8,62.8,0.4869,0.4955,0.9906
La Liga,2024/25,MLP,206,50.12,54.3,36.5,55.4,0.4849,0.4874,0.9791
La Liga,2024/25,Hybrid (HistGBM-Elo),203,49.39,55.9,26.9,58.7,0.4672,0.4717,1.0041
La Liga,2024/25,DrawThresh(0.35)+XGBoost,203,49.39,45.2,63.5,43.8,0.4967,0.5081,0.9728
La Liga,2024/25,HistGBM,196,47.69,52.7,27.9,57.0,0.4549,0.4587,1.0153
Serie A,2022/23,Stacked (MLPMeta),201,52.89,81.4,1.0,58.0,0.4046,0.4678,0.984
Serie A,2022/23,Stacked (XGBMeta),200,52.63,75.2,7.0,60.5,0.4346,0.4755,0.9943
Serie A,2022/23,LightGBM,199,52.37,62.7,21.0,64.7,0.4806,0.4948,1.0097
Serie A,2022/23,Linear SVM,198,52.11,80.1,0.0,58.0,0.3919,0.4604,0.9876
Serie A,2022/23,Stacked (CatMeta),198,52.11,77.6,5.0,57.1,0.4202,0.4659,0.9859
Serie A,2022/23,DrawThresh(0.37)+Linear SVM,198,52.11,80.1,0.0,58.0,0.3919,0.4604,0.9876
Serie A,2022/23,Hybrid (Linear SVM-Elo),198,52.11,80.1,0.0,58.0,0.3921,0.4604,0.9875
Serie A,2022/23,Stacked (RFMeta),197,51.84,79.5,0.0,58.0,0.3901,0.4583,0.9862
Serie A,2022/23,Random Forest,192,50.53,64.0,15.0,62.2,0.4495,0.4705,1.0011
Serie A,2022/23,HistGBM,192,50.53,60.9,25.0,58.0,0.4725,0.4795,1.0623
Serie A,2022/23,Hybrid (Random Forest-Elo),192,50.53,64.0,15.0,62.2,0.4493,0.4705,1.0005
Serie A,2022/23,Hybrid (HistGBM-Elo),191,50.26,66.5,11.0,61.3,0.4341,0.4627,1.0054
Serie A,2022/23,Hybrid (XGBoost-Elo),190,50.0,61.5,14.0,64.7,0.445,0.4673,1.006
Serie A,2022/23,Hybrid (LightGBM-Elo),189,49.74,65.2,7.0,64.7,0.4183,0.4564,0.9993
Serie A,2022/23,XGBoost,189,49.74,60.9,14.0,64.7,0.4434,0.4653,1.0072
Serie A,2022/23,Hybrid (CatBoost-Elo),187,49.21,65.2,18.0,53.8,0.4479,0.4567,0.9948
Serie A,2022/23,CatBoost,187,49.21,65.2,18.0,53.8,0.4481,0.4567,0.9952
Serie A,2022/23,Hybrid (MLP-Elo),181,47.63,60.2,15.0,58.0,0.4288,0.4441,1.049
Serie A,2022/23,Logistic Regression,180,47.37,56.5,9.0,67.2,0.4119,0.4425,1.0093
Serie A,2022/23,Hybrid (Logistic Regression-Elo),178,46.84,56.5,8.0,66.4,0.4047,0.4364,1.0085
Serie A,2022/23,MLP,172,45.26,54.0,24.0,51.3,0.4279,0.431,1.1167
Serie A,2023/24,Stacked (RFMeta),213,56.05,84.9,0.0,71.6,0.4347,0.5216,0.9636
Serie A,2023/24,Hybrid (CatBoost-Elo),213,56.05,74.2,22.3,64.2,0.5201,0.5359,0.9587
Serie A,2023/24,Stacked (CatMeta),212,55.79,81.1,5.4,70.6,0.4595,0.5238,0.9622
Serie A,2023/24,Stacked (MLPMeta),211,55.53,83.6,0.9,70.6,0.4359,0.5173,0.9766
Serie A,2023/24,Stacked (XGBMeta),208,54.74,77.4,6.2,71.6,0.4554,0.5172,0.9786
Serie A,2023/24,Linear SVM,207,54.47,83.0,1.8,67.0,0.4314,0.5059,0.9587
Serie A,2023/24,Hybrid (Linear SVM-Elo),207,54.47,83.6,0.0,67.9,0.4219,0.5051,0.9693
Serie A,2023/24,Hybrid (MLP-Elo),207,54.47,69.2,19.6,68.8,0.5007,0.5254,1.0008
Serie A,2023/24,CatBoost,206,54.21,63.5,34.8,60.6,0.5283,0.5296,0.9587
Serie A,2023/24,DrawThresh(0.42)+XGBoost,205,53.95,68.6,7.1,80.7,0.4565,0.5214,0.9889
Serie A,2023/24,Hybrid (Logistic Regression-Elo),204,53.68,76.7,1.8,73.4,0.4263,0.5064,0.9724
Serie A,2023/24,Hybrid (Random Forest-Elo),202,53.16,75.5,1.8,73.4,0.4305,0.5022,0.9729
Serie A,2023/24,XGBoost,199,52.37,59.1,21.4,74.3,0.4927,0.5162,0.9889
Serie A,2023/24,Hybrid (XGBoost-Elo),199,52.37,59.1,21.4,74.3,0.4927,0.5162,0.9889
Serie A,2023/24,Hybrid (LightGBM-Elo),198,52.11,59.7,19.6,74.3,0.4877,0.5123,0.9914
Serie A,2023/24,LightGBM,198,52.11,59.1,20.5,74.3,0.4897,0.5132,0.9925
Serie A,2023/24,Random Forest,195,51.32,62.3,16.1,71.6,0.471,0.4997,0.9798
Serie A,2023/24,Logistic Regression,193,50.79,56.6,17.0,77.1,0.467,0.5021,0.9843
Serie A,2023/24,MLP,193,50.79,59.1,23.2,67.0,0.4802,0.4977,1.0469
Serie A,2023/24,HistGBM,186,48.95,54.7,21.4,68.8,0.4617,0.4832,1.0455
Serie A,2023/24,Hybrid (HistGBM-Elo),185,48.68,54.7,19.6,69.7,0.4561,0.4803,1.0304
Serie A,2024/25,Logistic Regression,209,55.0,62.9,30.6,66.9,0.5262,0.5347,0.9547
Serie A,2024/25,Stacked (CatMeta),208,54.74,80.1,11.1,62.0,0.4726,0.5108,0.9461
Serie A,2024/25,MLP,208,54.74,60.9,34.3,65.3,0.5301,0.5349,0.9635
Serie A,2024/25,Hybrid (MLP-Elo),207,54.47,68.2,22.2,66.1,0.5064,0.5218,0.957
Serie A,2024/25,Hybrid (CatBoost-Elo),207,54.47,68.9,32.4,56.2,0.5229,0.5249,0.9583
Serie A,2024/25,CatBoost,206,54.21,66.2,37.0,54.5,0.5265,0.526,0.9586
Serie A,2024/25,Hybrid (Logistic Regression-Elo),206,54.21,74.8,9.3,68.6,0.4634,0.509,0.9526
Serie A,2024/25,LightGBM,206,54.21,63.6,26.9,66.9,0.5132,0.5246,0.9672
Serie A,2024/25,Stacked (XGBMeta),203,53.42,79.5,12.0,57.9,0.4653,0.4979,0.9526
Serie A,2024/25,Stacked (RFMeta),203,53.42,82.8,1.9,62.8,0.4229,0.4915,0.9446
Serie A,2024/25,Hybrid (LightGBM-Elo),202,53.16,64.2,22.2,66.9,0.4955,0.5113,0.9656
Serie A,2024/25,Linear SVM,201,52.89,81.5,1.9,62.8,0.4204,0.4871,0.9546
Serie A,2024/25,Stacked (MLPMeta),201,52.89,80.8,1.9,63.6,0.4197,0.4876,0.9563
Serie A,2024/25,Hybrid (XGBoost-Elo),200,52.63,63.6,21.3,66.9,0.4894,0.506,0.9702
Serie A,2024/25,XGBoost,200,52.63,63.6,21.3,66.9,0.4894,0.506,0.9702
Serie A,2024/25,Hybrid (HistGBM-Elo),200,52.63,61.6,25.0,66.1,0.497,0.509,0.9863
Serie A,2024/25,Hybrid (Linear SVM-Elo),200,52.63,81.5,1.9,62.0,0.418,0.4843,0.9547
Serie A,2024/25,DrawThresh(0.37)+XGBoost,199,52.37,64.9,19.4,66.1,0.4823,0.5015,0.9702
Serie A,2024/25,HistGBM,199,52.37,60.9,25.0,66.1,0.4949,0.5068,0.9889
Serie A,2024/25,Random Forest,194,51.05,66.2,13.0,66.1,0.4575,0.4843,0.956
Serie A,2024/25,Hybrid (Random Forest-Elo),194,51.05,66.9,12.0,66.1,0.4549,0.4835,0.9556
Bundesliga,2022/23,Hybrid (HistGBM-Elo),37,53.62,71.9,12.5,57.1,0.4585,0.4717,1.0693
Bundesliga,2022/23,HistGBM,36,52.17,65.6,18.8,57.1,0.4692,0.4717,1.1363
Bundesliga,2022/23,Hybrid (LightGBM-Elo),35,50.72,62.5,12.5,61.9,0.4358,0.4563,1.0486
Bundesliga,2022/23,DrawThresh(0.37)+XGBoost,35,50.72,56.2,18.8,66.7,0.4569,0.4722,1.0669
Bundesliga,2022/23,Stacked (MLPMeta),34,49.28,62.5,12.5,57.1,0.4232,0.4405,1.0374
Bundesliga,2022/23,Hybrid (MLP-Elo),33,47.83,53.1,18.8,61.9,0.4328,0.4459,1.0768
Bundesliga,2022/23,Hybrid (CatBoost-Elo),33,47.83,71.9,12.5,38.1,0.3957,0.4082,1.0433
Bundesliga,2022/23,Stacked (XGBMeta),33,47.83,68.8,6.2,47.6,0.383,0.4087,1.0305
Bundesliga,2022/23,CatBoost,33,47.83,68.8,25.0,33.3,0.4222,0.4236,1.05
Bundesliga,2022/23,LightGBM,33,47.83,50.0,31.2,57.1,0.4555,0.4613,1.0684
Bundesliga,2022/23,Hybrid (XGBoost-Elo),33,47.83,56.2,18.8,57.1,0.4309,0.4405,1.065
Bundesliga,2022/23,Hybrid (Linear SVM-Elo),32,46.38,75.0,0.0,38.1,0.327,0.377,1.0284
Bundesliga,2022/23,Linear SVM,32,46.38,75.0,0.0,38.1,0.327,0.377,1.0284
Bundesliga,2022/23,Stacked (RFMeta),32,46.38,71.9,0.0,42.9,0.3329,0.3824,1.0341
Bundesliga,2022/23,Stacked (CatMeta),31,44.93,65.6,0.0,47.6,0.3307,0.3775,1.0564
Bundesliga,2022/23,Random Forest,31,44.93,56.2,12.5,52.4,0.3891,0.4038,1.0689
Bundesliga,2022/23,XGBoost,31,44.93,50.0,18.8,57.1,0.41,0.4196,1.0669
Bundesliga,2022/23,Hybrid (Random Forest-Elo),30,43.48,56.2,6.2,52.4,0.3565,0.3829,1.0577
Bundesliga,2022/23,MLP,30,43.48,43.8,18.8,61.9,0.3983,0.4147,1.1854
Bundesliga,2022/23,Logistic Regression,29,42.03,50.0,6.2,57.1,0.3596,0.378,1.0694
Bundesliga,2022/23,Hybrid (Logistic Regression-Elo),29,42.03,50.0,6.2,57.1,0.3596,0.378,1.0671
Bundesliga,2023/24,Stacked (MLPMeta),187,55.99,87.8,0.0,58.0,0.4221,0.4859,0.9487
Bundesliga,2023/24,Stacked (XGBMeta),184,55.09,82.3,3.4,60.0,0.4333,0.4859,0.9596
Bundesliga,2023/24,Hybrid (Linear SVM-Elo),182,54.49,87.1,0.0,54.0,0.4077,0.4702,0.957
Bundesliga,2023/24,Linear SVM,182,54.49,87.1,0.0,54.0,0.4077,0.4702,0.957
Bundesliga,2023/24,Stacked (RFMeta),181,54.19,82.3,0.0,60.0,0.4062,0.4744,0.9457
Bundesliga,2023/24,Hybrid (LightGBM-Elo),180,53.89,61.2,27.6,66.0,0.5066,0.516,0.9627
Bundesliga,2023/24,Hybrid (Random Forest-Elo),179,53.59,69.4,16.1,63.0,0.4742,0.4949,0.9656
Bundesliga,2023/24,LightGBM,178,53.29,59.9,28.7,65.0,0.5036,0.512,0.964
Bundesliga,2023/24,Stacked (CatMeta),177,52.99,80.3,0.0,59.0,0.3983,0.4642,0.9592
Bundesliga,2023/24,Hybrid (MLP-Elo),175,52.4,66.7,21.8,58.0,0.4788,0.4884,0.9886
Bundesliga,2023/24,Hybrid (CatBoost-Elo),175,52.4,71.4,26.4,47.0,0.4866,0.4829,0.9698
Bundesliga,2023/24,Random Forest,175,52.4,66.7,19.5,60.0,0.4735,0.4874,0.9677
Bundesliga,2023/24,CatBoost,175,52.4,71.4,26.4,47.0,0.4866,0.4829,0.9698
Bundesliga,2023/24,Hybrid (Logistic Regression-Elo),175,52.4,61.9,26.4,61.0,0.4916,0.4978,0.9665
Bundesliga,2023/24,Hybrid (XGBoost-Elo),173,51.8,61.2,23.0,63.0,0.4789,0.4907,0.969
Bundesliga,2023/24,Logistic Regression,172,51.5,57.8,29.9,61.0,0.491,0.4957,0.9696
Bundesliga,2023/24,XGBoost,171,51.2,59.2,26.4,61.0,0.481,0.4887,0.9718
Bundesliga,2023/24,Hybrid (HistGBM-Elo),169,50.6,68.0,19.5,52.0,0.458,0.4652,1.0012
Bundesliga,2023/24,HistGBM,165,49.4,63.3,26.4,49.0,0.4622,0.4623,1.0421
Bundesliga,2023/24,MLP,160,47.9,49.7,36.8,55.0,0.4673,0.4715,1.0595
Bundesliga,2023/24,DrawThresh(0.30)+CatBoost,147,44.01,38.1,82.8,19.0,0.4193,0.4662,0.9698
Bundesliga,2024/25,Stacked (MLPMeta),157,51.31,84.7,1.3,50.5,0.3936,0.455,1.0004
Bundesliga,2024/25,XGBoost,155,50.65,60.2,20.8,61.3,0.466,0.474,1.0096
Bundesliga,2024/25,Hybrid (XGBoost-Elo),155,50.65,61.0,20.8,60.4,0.4658,0.4739,1.0086
Bundesliga,2024/25,Stacked (RFMeta),155,50.65,83.9,0.0,50.5,0.3806,0.4478,1.0011
Bundesliga,2024/25,LightGBM,155,50.65,62.7,24.7,55.9,0.473,0.4775,1.0057
Bundesliga,2024/25,Hybrid (CatBoost-Elo),155,50.65,83.1,13.0,42.3,0.4344,0.4613,1.0099
Bundesliga,2024/25,Hybrid (LightGBM-Elo),155,50.65,62.7,24.7,55.9,0.473,0.4775,1.0057
Bundesliga,2024/25,Linear SVM,154,50.33,89.0,0.0,44.1,0.3739,0.4438,1.0062
Bundesliga,2024/25,Random Forest,154,50.33,71.2,13.0,54.1,0.4409,0.4608,1.0041
Bundesliga,2024/25,Hybrid (Random Forest-Elo),154,50.33,71.2,13.0,54.1,0.441,0.4608,1.004
Bundesliga,2024/25,Hybrid (Linear SVM-Elo),154,50.33,89.0,0.0,44.1,0.3737,0.4438,1.006
Bundesliga,2024/25,CatBoost,153,50.0,75.4,23.4,41.4,0.4571,0.4675,1.011
Bundesliga,2024/25,Hybrid (Logistic Regression-Elo),151,49.35,61.9,15.6,59.5,0.4443,0.4564,1.0011
Bundesliga,2024/25,Stacked (CatMeta),150,49.02,79.7,0.0,50.5,0.37,0.4337,1.0143
Bundesliga,2024/25,Logistic Regression,148,48.37,52.5,27.3,58.6,0.4598,0.4612,1.0055
Bundesliga,2024/25,Stacked (XGBMeta),145,47.39,81.4,0.0,44.1,0.3558,0.4183,1.0219
Bundesliga,2024/25,Hybrid (MLP-Elo),141,46.08,58.5,19.5,51.4,0.4249,0.431,1.0534
Bundesliga,2024/25,DrawThresh(0.35)+LightGBM,141,46.08,52.5,28.6,51.4,0.4445,0.4416,1.0057
Bundesliga,2024/25,MLP,138,45.1,51.7,27.3,50.5,0.4311,0.4314,1.1162
Bundesliga,2024/25,Hybrid (HistGBM-Elo),138,45.1,64.4,16.9,44.1,0.4086,0.4181,1.0568
Bundesliga,2024/25,HistGBM,136,44.44,63.6,18.2,42.3,0.4056,0.4136,1.0785
