Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,HTHG,HTAG,HTR,PSH,PSD,PSA
SP1,2004-10-24,Sociedad,Mallorca,2,1,H,1.8,3.25,4.0,,,,,,,1,0,H,,,
SP1,2004-10-24,Sevilla,Ath Madrid,2,1,H,1.9,3.25,3.5,,,,,,,1,0,H,,,
SP1,2004-10-24,Santander,Zaragoza,1,0,H,2.25,3.2,2.8,,,,,,,1,0,H,,,
SP1,2004-10-24,Levante,Espanol,0,2,A,2.0,3.2,3.3,,,,,,,0,0,D,,,
SP1,2004-10-24,Getafe,Betis,0,2,A,2.25,3.2,2.8,,,,,,,0,0,D,,,
SP1,2004-10-24,Albacete,Ath Bilbao,1,0,H,2.37,3.2,2.62,,,,,,,1,0,H,,,
SP1,2004-10-30,Ath Bilbao,Barcelona,1,1,D,4.0,3.25,1.9,,,,,,,1,1,D,,,
SP1,2004-10-30,Valencia,Ath Madrid,1,1,D,1.8,3.1,5.0,,,,,,,0,0,D,,,
SP1,2004-10-31,Zaragoza,Sevilla,3,0,H,2.25,3.25,2.75,,,,,,,2,0,H,,,
SP1,2004-10-31,Real Madrid,Getafe,2,0,H,1.2,5.0,12.0,,,,,,,1,0,H,,,
SP1,2004-10-31,Osasuna,Levante,0,1,A,1.83,3.25,3.75,,,,,,,0,1,A,,,
SP1,2004-10-31,Numancia,Sociedad,0,2,A,2.37,3.2,2.62,,,,,,,0,0,D,,,
SP1,2004-10-31,Mallorca,Santander,1,2,A,2.0,3.25,3.25,,,,,,,0,1,A,,,
SP1,2004-10-31,La Coruna,Albacete,0,0,D,1.44,3.75,6.5,,,,,,,0,0,D,,,
SP1,2004-10-31,Betis,Malaga,1,1,D,1.83,3.25,3.75,,,,,,,1,1,D,,,
SP1,2004-10-31,Espanol,Villarreal,0,0,D,2.0,3.25,3.25,,,,,,,0,0,D,,,
SP1,2004-11-06,Albacete,Betis,0,0,D,2.2,3.25,2.8,,,,,,,0,0,D,,,
SP1,2004-11-06,Barcelona,La Coruna,2,1,H,1.53,3.6,7.0,,,,,,,2,1,H,,,
SP1,2004-11-07,Ath Madrid,Zaragoza,1,1,D,1.8,3.25,4.0,,,,,,,0,1,A,,,
SP1,2004-11-07,Getafe,Valencia,1,0,H,3.5,3.25,1.9,,,,,,,1,0,H,,,
SP1,2004-11-07,Levante,Ath Bilbao,1,0,H,2.0,3.25,3.25,,,,,,,0,0,D,,,
SP1,2004-11-28,Real Madrid,Levante,5,0,H,1.28,4.5,8.5,,,,,,,1,0,H,,,
SP1,2004-11-28,Osasuna,Sevilla,4,1,H,2.25,3.2,2.8,,,,,,,1,1,D,,,
SP1,2004-11-28,Valencia,Mallorca,2,0,H,1.5,3.5,6.0,,,,,,,1,0,H,,,
SP1,2004-12-04,Albacete,Valencia,0,1,A,3.0,3.25,2.1,,,,,,,0,0,D,,,
SP1,2004-12-04,Barcelona,Malaga,4,0,H,1.22,5.5,13.0,,,,,,,2,0,H,,,
SP1,2004-12-04,Sociedad,Betis,1,0,H,2.25,3.25,2.75,,,,,,,1,0,H,,,
SP1,2004-12-05,Zaragoza,Espanol,0,1,A,2.2,3.25,2.8,,,,,,,0,1,A,,,
SP1,2004-12-05,Villarreal,Real Madrid,0,0,D,3.5,3.25,1.9,,,,,,,0,0,D,,,
SP1,2004-12-05,Ath Madrid,Osasuna,3,2,H,1.8,3.25,4.0,,,,,,,2,1,H,,,
SP1,2004-12-05,Santander,La Coruna,2,2,D,2.6,3.2,2.4,,,,,,,1,0,H,,,
SP1,2004-12-05,Mallorca,Numancia,3,2,H,1.8,3.25,4.0,,,,,,,0,1,A,,,
SP1,2004-12-05,Levante,Getafe,0,0,D,1.8,3.25,4.0,,,,,,,0,0,D,,,
SP1,2004-12-05,Sevilla,Ath Bilbao,2,0,H,1.8,3.25,4.0,,,,,,,0,0,D,,,
SP1,2004-12-11,Albacete,Barcelona,1,2,A,6.0,3.4,1.61,,,,,,,0,1,A,,,
SP1,2004-12-11,Ath Bilbao,Ath Madrid,1,0,H,2.0,3.25,3.25,,,,,,,1,0,H,,,
SP1,2004-12-12,Valencia,Numancia,1,0,H,1.36,4.0,7.5,,,,,,,1,0,H,,,
SP1,2004-12-12,Osasuna,Zaragoza,2,2,D,1.9,3.25,3.5,,,,,,,1,1,D,,,
SP1,2004-12-12,Malaga,Levante,1,0,H,2.2,3.1,3.0,,,,,,,0,0,D,,,
SP1,2004-12-12,La Coruna,Sevilla,2,2,D,1.83,3.1,4.0,,,,,,,0,1,A,,,
SP1,2004-12-12,Getafe,Villarreal,1,2,A,2.25,3.25,2.75,,,,,,,0,1,A,,,
SP1,2004-12-12,Espanol,Mallorca,2,1,H,1.66,3.4,4.5,,,,,,,2,0,H,,,
SP1,2004-12-12,Betis,Santander,2,1,H,1.72,3.25,4.33,,,,,,,1,0,H,,,
SP1,2004-12-18,Barcelona,Valencia,1,1,D,1.66,3.4,5.5,,,,,,,0,0,D,,,
SP1,2004-12-18,Levante,Albacete,1,1,D,1.83,3.25,3.75,,,,,,,1,1,D,,,
SP1,2004-12-18,Santander,Real Madrid,2,3,A,4.0,3.25,1.9,,,,,,,1,1,D,,,
