Date,HomeTeam,AwayTeam,FTHG,FTAG,Result,EloHomeBefore,EloAwayBefore,EloDiff,HomeWin,Draw,AwayWin,Weight
2020-07-16,Valencia,Espanol,1,0,H,1592.017722960206,1438.029358274303,243.98836468590298,1,0,0,2.2172302865824898e-05
2020-07-16,Sociedad,Sevilla,0,0,D,1576.8428194657774,1693.637981572527,-26.795162106749558,0,1,0,2.2172302865824898e-05
2020-07-16,Real Madrid,Villarreal,2,1,H,1807.44501264775,1623.4681684802783,273.97684416747165,1,0,0,2.2172302865824898e-05
2020-07-16,Mallorca,Granada,1,2,A,1462.4087143147276,1522.3558538342081,30.052860480519485,0,0,1,2.2172302865824898e-05
2020-07-16,Barcelona,Osasuna,1,2,A,1831.7707029446074,1536.7061075621386,385.0645953824687,0,0,1,2.2172302865824898e-05
2020-07-16,Celta,Levante,2,3,A,1528.9202701382328,1521.8993009323892,97.02096920584358,0,0,1,2.2172302865824898e-05
2020-07-16,Betis,Alaves,1,2,A,1539.1068421588054,1476.4305335670106,152.67630859179485,0,0,1,2.2172302865824898e-05
2020-07-16,Ath Bilbao,Leganes,0,2,A,1606.7012319361274,1499.8999805851277,196.8012513509998,0,0,1,2.2172302865824898e-05
2020-07-16,Eibar,Valladolid,3,1,H,1530.6854187428821,1513.3445352169408,107.34088352594131,1,0,0,2.2172302865824898e-05
2020-07-16,Getafe,Ath Madrid,0,2,A,1606.2793754279162,1742.413159226056,-46.1337837981398,0,0,1,2.2172302865824898e-05
2020-07-19,Sevilla,Valencia,1,0,H,1692.483429580799,1597.930765833326,184.55266374747316,1,0,0,2.254493791321221e-05
2020-07-19,Espanol,Celta,0,0,D,1432.1163154011829,1509.8371249024483,12.279190498734579,0,1,0,2.254493791321221e-05
2020-07-19,Osasuna,Mallorca,2,2,D,1563.7580438352795,1446.114454344541,207.64358949073858,0,1,0,2.254493791321221e-05
2020-07-19,Leganes,Real Madrid,2,2,D,1522.5910754749823,1812.5810505955706,-199.98997512058827,0,1,0,2.254493791321221e-05
2020-07-19,Levante,Getafe,1,0,H,1540.9824461681737,1593.259507066217,37.72293910195663,1,0,0,2.254493791321221e-05
2020-07-19,Villarreal,Eibar,4,0,H,1618.3321305324578,1541.193169253848,167.1389612786097,1,0,0,2.254493791321221e-05
2020-07-19,Valladolid,Betis,2,0,H,1502.8367847059749,1517.9091679933344,74.92761671264043,1,0,0,2.254493791321221e-05
2020-07-19,Alaves,Barcelona,0,5,A,1497.6282077324818,1804.7187666714665,-217.0905589389847,0,0,1,2.254493791321221e-05
2020-07-19,Granada,Ath Bilbao,4,0,H,1538.6501138043948,1584.0101370462728,44.639976758121975,1,0,0,2.254493791321221e-05
